category,precision,recall,f1-score,support,accuracy,AP,AUC
alligator apple,0.8971428571428571,0.8971428571428571,0.8971428571428571,175.0,0.8971428571428571,0.9491515451741784,0.9965999700613742
apple,0.9574468085106383,0.9375,0.9473684210526316,240.0,0.9375,0.9886264077996852,0.9996397426873143
avocado,0.961206896551724,0.9570815450643776,0.9591397849462364,233.0,0.9570815450643776,0.9873328676844432,0.9994657203242101
banana,0.9827586206896552,0.9827586206896552,0.9827586206896552,232.0,0.9827586206896552,0.9931923185065932,0.9990663950725059
barberry,0.9665071770334928,0.9758454106280192,0.971153846153846,207.0,0.9758454106280192,0.9948943175809952,0.9997685314562927
bayberry,0.979591836734694,0.964824120603015,0.9721518987341772,199.0,0.964824120603015,0.991710145336439,0.9953726601483776
bell pepper,0.9547738693467336,0.95,0.9523809523809524,200.0,0.95,0.9924308434254824,0.9997600420364317
black berry,0.9695652173913044,0.9911111111111112,0.9802197802197804,225.0,0.9911111111111112,0.9967149999344032,0.999757452733211
black cherry,0.907514450867052,0.8486486486486486,0.8770949720670391,185.0,0.8486486486486486,0.9411514500808592,0.9981790859515536
blueberry,0.9514563106796116,0.98,0.9655172413793104,200.0,0.98,0.993837372738239,0.999862797758057
bottle gourd,0.9633507853403142,0.9246231155778896,0.9435897435897436,199.0,0.9246231155778896,0.9791773347832856,0.997775802538671
cantaloupe,0.9565217391304348,0.9850746268656716,0.9705882352941176,201.0,0.9850746268656716,0.9976745434767466,0.999943642757833
carambola,0.9801980198019802,0.9850746268656716,0.9826302729528535,201.0,0.9850746268656716,0.9991460826961402,0.999978502907627
cherry,0.8910891089108911,0.9,0.8955223880597015,200.0,0.9,0.9553578371583674,0.9958932741709481
coconut,0.9850746268656716,0.9705882352941176,0.9777777777777776,204.0,0.9705882352941176,0.9872862774842326,0.9980821651090342
corn kernel,0.99,0.9753694581280788,0.9826302729528535,203.0,0.9753694581280788,0.9972822385866617,0.9999108110269794
custard apple,0.9521531100478468,0.9299065420560748,0.9408983451536642,214.0,0.9299065420560748,0.9805642765991588,0.999201781712849
dragonfruit,0.9903381642512076,0.9903381642512076,0.9903381642512076,207.0,0.9903381642512076,0.9949622799212148,0.9993513235201963
durian,1.0,1.0,1.0,205.0,1.0,1.0,1.0
eggplant,0.9802955665024632,0.9851485148514852,0.982716049382716,202.0,0.9851485148514852,0.9945965959068352,0.9998034141185667
fig,0.9754901960784312,0.9851485148514852,0.9802955665024632,202.0,0.9851485148514852,0.9988673211837884,0.9999699339240162
grape,0.984924623115578,0.9514563106796116,0.9679012345679012,206.0,0.9514563106796116,0.991101358029519,0.999715816915757
jackfruit,0.9705882352941176,0.9611650485436892,0.9658536585365852,206.0,0.9611650485436892,0.9863908526607124,0.9995402587030361
jalapeno,0.9368932038834952,0.9554455445544554,0.946078431372549,202.0,0.9554455445544554,0.9928282247678466,0.9998109306375628
kiwi,0.97,0.9603960396039604,0.9651741293532338,202.0,0.9603960396039604,0.9904620487669888,0.9991963106611993
lemon,0.8967136150234741,0.9455445544554456,0.9204819277108436,202.0,0.9455445544554456,0.972199080433104,0.9987031113763094
lime,0.9045226130653268,0.8910891089108911,0.8977556109725686,202.0,0.8910891089108911,0.9588712388492676,0.9965990642512043
longan,0.9707317073170731,0.9802955665024632,0.9754901960784312,203.0,0.9802955665024632,0.9980904697636552,0.999954542394396
macadamia,0.916256157635468,0.93,0.923076923076923,200.0,0.93,0.9727458627873852,0.9969757122839793
mango,0.94,0.9170731707317074,0.9283950617283953,205.0,0.9170731707317074,0.9689015865613118,0.9990245612235302
orange,0.9580838323353292,0.975609756097561,0.9667673716012084,164.0,0.975609756097561,0.9927471094364824,0.9998773397617697
papaya,0.9609756097560976,0.9609756097560976,0.9609756097560976,205.0,0.9609756097560976,0.9895406027125446,0.9995514634431308
pea,0.98943661971831,1.0,0.9946902654867256,281.0,1.0,0.999910708558273,0.999997063417184
peanut,0.9826589595375722,0.9883720930232558,0.9855072463768114,172.0,0.9883720930232558,0.9986048144209304,0.9999695498246071
pear,0.94,0.9353233830845772,0.9376558603491272,201.0,0.9353233830845772,0.9703576927856852,0.9978218216403676
persimmon,0.9836956521739132,0.9783783783783784,0.981029810298103,185.0,0.9783783783783784,0.9945573149815105,0.9994499453410749
pineapple,0.9855769230769232,0.9903381642512076,0.9879518072289156,207.0,0.9903381642512076,0.995244768781816,0.9981104263029563
pomegranate,0.9611650485436892,0.9801980198019802,0.9705882352941178,202.0,0.9801980198019802,0.9814366179529735,0.9993613849822263
pumpkin,0.968421052631579,0.968421052631579,0.968421052631579,95.0,0.968421052631579,0.9950601437320046,0.9999356448567491
saguaro,0.9565217391304348,0.9777777777777776,0.967032967032967,90.0,0.9777777777777776,0.9939105341709624,0.9999218609894192
strawberry,0.975,0.975,0.975,200.0,0.975,0.9941279811595496,0.9993402615600187
tomato,0.9646464646464646,0.955,0.9597989949748744,200.0,0.955,0.985924330463132,0.999591312470808
watermelon,0.9900497512437813,1.0,0.995,199.0,1.0,0.9997429048215668,0.9999941329531488
zucchini,0.9607843137254902,0.9751243781094528,0.9679012345679012,201.0,0.9751243781094528,0.9968303483251189,0.999927374687929
macro avg,0.9604573064484344,0.9606629106709876,0.9604646095381691,8764.0,0.9606629106709876,0.9871259920677292,0.9990852941066912
weighted avg,0.9610123454970682,0.9609767229575537,0.9609003012168968,8764.0,0.9609767229575538,0.9872479210914954,0.9990831528075333
