class,trainset,valset,testset,total
carambola,706,201,100,1007
black berry,792,225,112,1129
barberry,728,207,103,1038
watermelon,698,199,99,996
apple,843,240,120,1203
persimmon,651,185,92,928
lime,707,202,101,1010
jackfruit,722,206,103,1031
pomegranate,710,202,101,1013
bayberry,700,199,99,998
cantaloupe,707,201,100,1008
banana,814,232,116,1162
eggplant,709,202,101,1012
lemon,708,202,101,1011
dragonfruit,725,207,103,1035
blueberry,702,200,100,1002
papaya,720,205,102,1027
orange,575,164,82,821
pear,706,201,100,1007
pineapple,727,207,103,1037
tomato,700,200,100,1000
bottle gourd,701,199,99,999
avocado,820,233,116,1169
bell pepper,700,200,100,1000
mango,718,205,102,1025
peanut,606,172,86,864
cherry,703,200,100,1003
custard apple,753,214,107,1074
pumpkin,333,95,47,475
coconut,718,204,102,1024
kiwi,707,202,101,1010
saguaro,316,90,45,451
strawberry,702,200,100,1002
grape,724,206,103,1033
black cherry,650,185,92,927
pea,984,281,140,1405
alligator apple,617,175,87,879
fig,709,202,101,1012
macadamia,703,200,100,1003
zucchini,708,201,100,1009
longan,714,203,101,1018
durian,719,205,102,1026
jalapeno,709,202,101,1012
corn kernel,714,203,101,1018
